55	Komfort_und_Ausstattung#Sauberkeit_allgemein
54	Komfort_und_Ausstattung#Funktionsfähigkeit_Sitz_und_Sitzverstellbarkeit
59	unklare_Kategorie#Streckennetz
9	Atmosphäre#Temperatur
23	Atmosphäre#Lautstärke
25	DB_App_und_Website#Haupt
10	Zugfahrt#Pünktlichkeit
22	Image#Haupt
60	Image#Sponsoring
6	DB_App_und_Website#Informationen_DB_App_und_Website
40	Image#Marketing
19	DB_App_und_Website#Störungen_DB_App_und_Website
1	Sonstige_Unregelmässigkeiten#Haupt
14	Informationen#Haupt
11	Atmosphäre#Sauberkeit_allgemein
0	unklare_Kategorie#Haupt
26	Sonstiges_/_Keine_Kategorie#Haupt
33	Connectivity#WLAN_und_Internet
28	Toiletten#Funktionsfähigkeit_Toiletten
47	Atmosphäre#Fahrgefühl
24	Zugfahrt#Fahrtzeit_und_Schnelligkeit
52	Zugfahrt#Sonstige_Unregelmaessigkeiten
3	Zugfahrt#Haupt
58	QR-Code#Haupt
2	Ticketkauf#Haupt
5	Atmosphäre#Haupt
15	Zugfahrt#Anschlusserreichung
32	Connectivity#Haupt
16	Allgemein#Haupt
51	Connectivity#ICE_Portal
50	Gastronomisches_Angebot#Verfügbarkeit_angebotener_Produkte
44	Zugfahrt#Wagenreihung
8	Auslastung_und_Platzangebot#Haupt
12	Atmosphäre#Geruch
27	Design#Haupt
42	Gastronomisches_Angebot#Preise
34	Connectivity#Telefonie_und_Handyempfang
18	Service_und_Kundenbetreuung#Zugbetreuung
35	Gastronomisches_Angebot#Haupt
20	Reisen_mit_Kindern#Haupt
30	Zugfahrt#Puenktlichkeit
38	Gastronomisches_Angebot#Gastronomiebetreuung
21	Komfort_und_Ausstattung#Reservierung
48	Gepäck#Haupt
53	Zugfahrt#Technische_Schaeden_und_Stoerungen_am_Zug
4	Zugfahrt#Streckennetz
37	Komfort_und_Ausstattung#Sitzkomfort
39	Service_und_Kundenbetreuung#Am-Platz-Service_und_1._Klasse-Service
46	Komfort_und_Ausstattung#Sauberkeit_Sitzplatz
57	unklare_Kategorie#Reservierung
17	Komfort_und_Ausstattung#Haupt
49	Komfort_und_Ausstattung#Steckdosen
29	Toiletten#Sauberkeit_Toilette
45	Toiletten#Haupt
13	Sicherheit#Haupt
56	Atmosphäre#Beleuchtung
31	Zugfahrt#Technische_Schäden_und_Störungen_am_Zug
43	Gastronomisches_Angebot#Verfügbarkeit_Bordbistro_und_-restaurant
41	Gastronomisches_Angebot#Vielfalt_und_Auswahl
7	Service_und_Kundenbetreuung#Haupt
36	Barrierefreiheit#Haupt
